,x,y,t1,t2,t3,label
0,-1.16833902330993,-0.3317614087881338,1.2569335006976026,1.9699053615979012,2.127587996130642,1.0
1,-1.185180206796002,-0.3549914845872864,1.4447185949774677,1.8475489672620673,1.8062111052910466,1.0
2,-1.1816913682733123,-0.353946192522886,1.569908657830711,1.8271562348727612,1.8463832166459961,1.0
3,-1.167736014182551,-0.37358026187195353,1.382123563550846,1.9189235306246373,1.9668995507108444,1.0
4,-1.1552881829102368,-0.436620102652217,1.2068574755563048,2.0310835587658187,2.1998977965695508,1.0
5,-1.16105984170086,-0.3212805370697888,1.2569335006976026,2.0412799249604716,2.207932218840541,1.0
6,-1.1592077422381977,-0.4069157110136458,1.1567814504150078,1.867941699651373,2.2240010633825205,1.0
7,-1.1673483654578078,-0.3549914845872864,1.4071615761214946,1.9189235306246373,1.838348794375006,1.0
8,-1.1487412266701276,-0.36752686362483034,1.3195285321242243,2.010690826376513,2.207932218840541,1.0
9,-1.159250814318725,-0.46437921115165043,1.5198326326894134,2.1126544883230416,2.465033731512217,1.0
10,-1.1544267412996965,-0.39713439032118364,1.3195285321242243,1.9597089954032487,1.9668995507108444,1.0
11,-1.1598968955266307,-0.34160386082164707,1.382123563550846,1.9801017277925543,2.127587996130642,1.0
12,-1.1418927658663276,-0.36522983270520887,1.1818194629856562,1.92911989681929,2.207932218840541,1.0
13,-1.1418927658663276,-0.36522983270520887,1.1567814504150078,1.9087271644299844,2.215966641111531,1.0
14,-1.138317783182584,-0.36335006938461867,1.2819715132682512,2.020887192571166,2.3766550865313283,1.0
15,-1.1633426619687937,-0.39192784907067024,1.3195285321242243,1.85774533345672,1.9267274393558949,1.0
16,-1.1760489257242703,-0.44802260478285433,1.3696045572655213,2.102458122128389,2.4569993092412274,1.0
17,-1.1495165241196144,-0.43143306709363094,1.432199588692143,1.9801017277925543,2.0472437734207434,1.0
18,-1.1503779657301547,-0.44056054309612186,1.244414494412278,2.0412799249604716,2.3204141306343993,1.0
19,-1.1579586519029137,-0.41460950460609436,1.231895488126954,1.9597089954032487,2.191863374298561,1.0
20,-1.1547282458633858,-0.39192784907067024,1.3696045572655213,1.92911989681929,2.0070716620657936,1.0
21,-1.159595390962941,-0.45568644953559173,1.3195285321242243,2.07186902354443,2.3284485529053893,1.0
22,-1.186343152970232,-0.24444956679332377,1.2819715132682512,1.9597089954032487,2.3686206642603387,1.0
23,-1.2342823785968262,-0.11647545982939671,1.3696045572655213,1.7761744038994969,1.645522659871249,1.0
24,-1.2309227563157172,-0.10663119125007693,1.569908657830711,1.9393162630139429,2.1677601074855914,1.0
25,-1.2417338485280038,-0.03465349759168735,1.0691484064177375,1.92911989681929,2.1677601074855914,1.0
26,-1.2088698510858733,-0.21864206870937103,1.3195285321242243,1.9801017277925543,2.24810433019549,1.0
27,-1.218216492560241,-0.16662069704867352,1.2569335006976026,1.8883344320406787,1.9588651284398544,1.0
28,-1.2203270245060658,-0.09098941299720543,1.3696045572655213,2.0004944601818604,1.9267274393558949,1.0
29,-1.2224806285324175,-0.1568241889234758,1.2569335006976026,1.9087271644299844,2.0874158847756927,1.0
30,-1.2239450792703366,-0.17321745850675777,1.569908657830711,1.8373526010674144,1.8062111052910466,1.0
31,-1.171310996866296,-0.274196664471334,1.2193764818416295,1.9801017277925543,2.408792775615288,1.0
32,-1.265294276576294,-0.00853088914416885,1.1317434378443592,1.9801017277925543,2.2400699079245006,1.0
33,-1.231267332959933,-0.08498350948860091,1.1943384692709809,1.8883344320406787,2.0874158847756927,1.0
34,-1.20150452531575,-0.24381572455380748,1.2569335006976026,1.8067635024834556,1.7258668825811478,1.0
35,-1.2136508520243747,-0.2188538665776825,1.3195285321242243,1.8985307982353317,1.9668995507108444,1.0
36,-1.2486253814123307,-0.19659143668438314,1.0691484064177375,1.7251925729262327,1.9267274393558949,1.0
37,-1.1738522496173909,-0.30679964992809555,1.432199588692143,1.8883344320406787,1.8142455275620366,1.0
38,-1.3244753152204458,0.04065682942632735,1.432199588692143,1.8169598686781085,1.8142455275620366,1.0
39,-1.196422019813559,-0.24719576994124062,1.419680582406819,1.8781380658460256,1.918693017084905,1.0
40,-1.206027093771089,-0.23514933682890318,1.382123563550846,1.8883344320406787,1.9668995507108444,1.0
41,-1.2356176130931646,-0.10277652249054524,1.4447185949774677,1.8475489672620673,1.8463832166459961,1.0
42,-1.198187975115168,-0.21546458168268198,1.344566544694873,2.010690826376513,2.408792775615288,1.0
43,-1.1712248527052413,-0.274196664471334,1.1943384692709809,1.9801017277925543,2.3284485529053893,1.0
44,-1.2217484031634587,-0.24719576994124062,1.820288783537198,1.867941699651373,1.645522659871249,1.0
45,-1.2318272700067856,-0.36293229842542957,1.4447185949774677,2.102458122128389,2.408792775615288,1.0
46,-1.2889839208661653,-0.23747517490614042,1.2569335006976026,2.0412799249604716,2.207932218840541,1.0
47,-1.2889839208661653,-0.23747517490614042,1.3195285321242243,2.020887192571166,2.2320354856535105,1.0
48,-1.267964745568971,-0.15341452924348095,1.569908657830711,1.8985307982353317,1.8062111052910466,1.0
49,-1.262279230939401,-0.29482201064850294,1.3195285321242243,2.0514762911551245,2.3686206642603387,1.0
50,-1.2076638328311164,-0.34767224861369606,1.569908657830711,2.0004944601818604,1.9267274393558949,1.0
51,-1.2921712548251667,-0.19149615907234327,1.1943384692709809,2.0616726573497774,2.3686206642603387,1.0
52,-1.226701692424068,-0.3760840948933198,1.3195285321242243,2.0514762911551245,2.127587996130642,1.0
53,-1.2118418246422396,-0.2756712580083609,1.382123563550846,1.9393162630139429,1.8865553280009455,1.0
54,-1.328265658306825,-0.0232195678386466,1.4447185949774677,2.010690826376513,2.0472437734207434,1.0
55,-1.3367939302511784,0.008776965674489164,1.0691484064177375,1.8883344320406787,2.0472437734207434,1.0
56,-1.353161320851453,-0.011340649917094476,1.569908657830711,2.102458122128389,2.3284485529053893,1.0
57,-1.2193794387344712,-0.25141928184793844,1.344566544694873,1.8475489672620673,1.7740734162070873,1.0
58,-1.3908493913126119,0.07111158095122715,1.0691484064177375,1.9902980939872073,2.473068153783207,1.0
59,-1.3491556173624388,-0.0821938610960002,1.3070095258388996,2.0514762911551245,2.440930464699248,1.0
60,-1.2937649218046667,-0.12075264369270486,1.3195285321242243,1.92911989681929,1.8865553280009455,1.0
61,-1.2558184188603456,-0.3009176151920455,1.419680582406819,2.0004944601818604,2.0070716620657936,1.0
62,-1.2452226870506942,-0.32966607475422927,1.4447185949774677,2.020887192571166,1.9267274393558949,1.0
